spotifyid,mp3,spec_npy,n_mels,n_frames
7rKbARub9Y2wdfgCk8OOCL,DataSets\audio\Pablo Ortiz - Teatro Martín Fierro Suite for 3 Sopranos_ II. A Pedido Suyo....mp3,DataSets\img\Pablo Ortiz - Teatro Martín Fierro Suite for 3 Sopranos_ II. A Pedido Suyo....npy,128,5414
5RrNHFDYr7xwJU4Di6Ns9o,DataSets\audio\April Stevens - Teach Me Tiger (Arr. R. Sund).mp3,DataSets\img\April Stevens - Teach Me Tiger (Arr. R. Sund).npy,128,1901
6IS8a7T5zqd1hDZQkpobcP,"DataSets\audio\Benjamin Britten - Sacred and Profane, Op. 91_ No. 4, The long night.mp3","DataSets\img\Benjamin Britten - Sacred and Profane, Op. 91_ No. 4, The long night.npy",128,14145
4i9OMFEiXL62m2OriXVtan,DataSets\audio\Steve Reich - You Are (Variations)_ I. You are wherever your thoughts are.mp3,DataSets\img\Steve Reich - You Are (Variations)_ I. You are wherever your thoughts are.npy,128,79438
7BNo2o4lNCZHHtbiSrwG3k,"DataSets\audio\Benjamin Britten - Sacred and Profane, Op. 91_ No. 1, St. Godric's Hymn.mp3","DataSets\img\Benjamin Britten - Sacred and Profane, Op. 91_ No. 1, St. Godric's Hymn.npy",128,11799
0faLF4FhS55lO2lrLE2r1l,"DataSets\audio\Benjamin Britten - Sacred and Profane, Op. 91_ No. 8, A death.mp3","DataSets\img\Benjamin Britten - Sacred and Profane, Op. 91_ No. 8, A death.npy",128,21874
0CHQJ0VzghuyunbsToP1Vz,"DataSets\audio\Frank Martin - Songs Of Ariel From Shakespeare's Tempest Iii, Act 4, Sc. Iii.mp3","DataSets\img\Frank Martin - Songs Of Ariel From Shakespeare's Tempest Iii, Act 4, Sc. Iii.npy",128,26111
6JoJe5zn3pvdwtBc1EOWHd,"DataSets\audio\Edward Elgar - Scenes from the Bavarian Highlands, Op. 27_ No. 5. On the Alm.mp3","DataSets\img\Edward Elgar - Scenes from the Bavarian Highlands, Op. 27_ No. 5. On the Alm.npy",128,150718
2QQMwyq7TvBuZ8aQZAsZF2,"DataSets\audio\Frank Martin - Songs Of Ariel From Shakespeare's Tempest I, Act 1, Sc. Ii.mp3","DataSets\img\Frank Martin - Songs Of Ariel From Shakespeare's Tempest I, Act 1, Sc. Ii.npy",128,9019
2TICIDkyiu7NmVczC4tWyj,"DataSets\audio\William Schuman - Carols of Death_ No. 1, The Last Invocation.mp3","DataSets\img\William Schuman - Carols of Death_ No. 1, The Last Invocation.npy",128,20902
3rB5h93plfZW3B3DMDJQf5,"DataSets\audio\William Bolcom - The Mask_ No. 1, We Wear the Mask.mp3","DataSets\img\William Bolcom - The Mask_ No. 1, We Wear the Mask.npy",128,399
